\omega_1,\omega_2,\delta_min,\sigma,B,T,L,FPR,TPR,FNR
1/10,1/3,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/3,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/3,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/3,0.02,0.30000000000000004,133,79,71,0.0,1.0,0.0
1/10,1/3,0.02,0.4,133,79,71,0.0,1.0,0.0
1/10,1/3,0.02,0.5,133,79,71,0.0,0.99,0.01
1/10,1/3,0.02,0.6000000000000001,133,79,71,0.0,0.955,0.045
1/10,1/3,0.02,0.7000000000000001,133,79,71,0.035,0.85,0.15
1/10,1/4,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/4,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/4,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/4,0.02,0.30000000000000004,133,79,71,0.0,1.0,0.0
1/10,1/4,0.02,0.4,133,79,71,0.0,0.995,0.005
1/10,1/4,0.02,0.5,133,79,71,0.0,0.98,0.02
1/10,1/4,0.02,0.6000000000000001,133,79,71,0.0,0.94,0.06
1/10,1/4,0.02,0.7000000000000001,133,79,71,0.035,0.845,0.155
1/10,1/5,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/5,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/5,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/5,0.02,0.30000000000000004,133,79,71,0.0,1.0,0.0
1/10,1/5,0.02,0.4,133,79,71,0.0,1.0,0.0
1/10,1/5,0.02,0.5,133,79,71,0.0,0.99,0.01
1/10,1/5,0.02,0.6000000000000001,133,79,71,0.0,0.935,0.065
1/10,1/5,0.02,0.7000000000000001,133,79,71,0.035,0.87,0.13
1/10,1/6,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/6,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/6,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/6,0.02,0.30000000000000004,133,79,71,0.0,1.0,0.0
1/10,1/6,0.02,0.4,133,79,71,0.0,0.995,0.005
1/10,1/6,0.02,0.5,133,79,71,0.0,0.995,0.005
1/10,1/6,0.02,0.6000000000000001,133,79,71,0.0,0.955,0.045
1/10,1/6,0.02,0.7000000000000001,133,79,71,0.035,0.87,0.13
1/10,1/7,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/7,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/7,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/7,0.02,0.30000000000000004,133,79,71,0.0,1.0,0.0
1/10,1/7,0.02,0.4,133,79,71,0.0,0.99,0.01
1/10,1/7,0.02,0.5,133,79,71,0.0,0.945,0.055
1/10,1/7,0.02,0.6000000000000001,133,79,71,0.01,0.94,0.06
1/10,1/7,0.02,0.7000000000000001,133,79,71,0.025,0.88,0.12
1/10,1/8,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/8,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/8,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/8,0.02,0.30000000000000004,133,79,71,0.0,0.99,0.01
1/10,1/8,0.02,0.4,133,79,71,0.0,0.915,0.085
1/10,1/8,0.02,0.5,133,79,71,0.0,0.855,0.145
1/10,1/8,0.02,0.6000000000000001,133,79,71,0.01,0.79,0.21
1/10,1/8,0.02,0.7000000000000001,133,79,71,0.025,0.785,0.215
1/10,1/9,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/9,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/9,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/9,0.02,0.30000000000000004,133,79,71,0.0,1.0,0.0
1/10,1/9,0.02,0.4,133,79,71,0.0,1.0,0.0
1/10,1/9,0.02,0.5,133,79,71,0.0,1.0,0.0
1/10,1/9,0.02,0.6000000000000001,133,79,71,0.01,1.0,0.0
1/10,1/9,0.02,0.7000000000000001,133,79,71,0.025,1.0,0.0
